fiscal_year,age_group,category,gender,value
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,223766
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Total,2872475
2019-20,Total,Number of exited members who rejoined and resubscribed,Transgender,203
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,30
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Female,275633
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Transgender,89
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Female,574336
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,36
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,72
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,46
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Female,496010
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Female,513901
2019-20,Total,Number of members that ceased subscribing during the year,Female,2226350
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,1023309
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Total,13598
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2019-20,Total,Number of exited members who rejoined and resubscribed,Female,1299303
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,1
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,Total,Number of members that ceased subscribing during the year,Female,2226350
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Female,513901
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Female,496010
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Female,355609
2019-20,Total,Number of members that ceased subscribing during the year,Transgender,311
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,39
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Female,261520
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,303351
2019-20,Total,Number of exited members who rejoined and resubscribed,Female,1299303
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,36
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,68
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Transgender,89
2019-20,Total,Number of members that ceased subscribing during the year,Transgender,311
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Female,600285
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Female,28053
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,36
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,61
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,61
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,36
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3
2019-20,Total,Number of New EPF Subscribers during the year,Transgender,274
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Female,261520
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Transgender,56
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,59
2019-20,Total,Number of New EPF Subscribers during the year,Transgender,274
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,30
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Total,2946147
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Total,102289
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,68
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,36
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,72
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,46
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,1
2019-20,Total,Number of New EPF Subscribers during the year,Female,2520661
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Female,473257
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Female,477298
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Female,278069
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Female,663699
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,72
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,68
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,303351
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Transgender,89
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,39
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,30
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2019-20,Total,Number of New EPF Subscribers during the year,Transgender,274
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Transgender,56
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Female,28053
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Female,600285
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Female,663699
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Female,278069
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Female,477298
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Female,473257
2019-20,Total,Number of New EPF Subscribers during the year,Female,2520661
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,61
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,36
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,59
2019-20,Total,Number of exited members who rejoined and resubscribed,Transgender,203
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,36
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,46
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,68
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,36
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,46
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,72
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Total,1873898
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Total,1282682
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Total,2872475
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Total,2946147
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Total,102289
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Female,600285
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Female,28053
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,36
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,68
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Transgender,89
2019-20,Total,Number of members that ceased subscribing during the year,Transgender,311
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,72
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,61
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Transgender,89
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353155
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,4205
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Female,10861
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Female,275633
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Female,574336
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Female,355609
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,223766
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,36
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,61
2019-20,Total,Number of exited members who rejoined and resubscribed,Transgender,203
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,39
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,59
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,30
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,1
2019-20,Total,Number of members that ceased subscribing during the year,Transgender,311
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,153306
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,223766
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,303351
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Transgender,56
2019-20,Total,Number of New EPF Subscribers during the year,Transgender,274
2019-20,Total,Number of exited members who rejoined and resubscribed,Total,7814625
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Total,1543821
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Total,1879519
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,1353831
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,2000547
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,1
2019-20,Total,Number of New EPF Subscribers during the year,Transgender,274
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Transgender,56
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,4205
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,153306
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353155
2019-20,Total,Number of exited members who rejoined and resubscribed,Female,1299303
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Female,261520
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,1
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Transgender,56
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,303351
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Transgender,56
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Total,1873898
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Total,1963192
2019-20,Total,Number of New EPF Subscribers during the year,Total,11040683
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,30
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,59
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353155
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,Total,Number of New EPF Subscribers during the year,Female,2520661
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,30
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,59
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Female,473257
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Total,2562761
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Total,1753635
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Total,2676071
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,39
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Total,2872475
2019-20,Total,Number of exited members who rejoined and resubscribed,Transgender,203
2019-20,Total,Number of New EPF Subscribers during the year,Transgender,274
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Female,10861
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Female,275633
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Female,477298
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Female,278069
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Female,663699
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Female,574336
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Female,355609
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Female,496010
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Total,27335
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Total,1429927
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Total,2676071
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Total,1753635
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Total,1282682
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Total,27335
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Female,663699
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Female,10861
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Male,73823
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Male,2345791
2019-20,Total,Number of exited members who rejoined and resubscribed,Female,1299303
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Female,261520
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,303351
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,223766
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353155
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,223766
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,303351
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Female,261520
2019-20,Total,Number of exited members who rejoined and resubscribed,Female,1299303
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Female,28053
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Female,600285
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Female,278069
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Female,477298
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Female,473257
2019-20,Total,Number of New EPF Subscribers during the year,Female,2520661
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Male,2208674
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Male,1004526
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Male,1396402
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Male,1489351
2019-20,Total,Number of New EPF Subscribers during the year,Male,8518567
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Female,574336
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,61
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,36
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,1
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Total,2562761
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Total,1429927
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Male,2100579
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,61
2019-20,Total,Number of members that ceased subscribing during the year,Transgender,311
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Transgender,89
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,68
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,36
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,72
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,36
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,46
2019-20,Total,Number of members that ceased subscribing during the year,Male,8759825
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Male,2027776
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Male,2064099
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Male,1396834
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Male,1154101
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Female,600285
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Male,16436
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Male,1004526
2019-20,Total,Number of New EPF Subscribers during the year,Transgender,274
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,61
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,36
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Transgender,56
2019-20,Total,Number of New EPF Subscribers during the year,Transgender,274
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Transgender,56
2019-20,Total,Number of members that ceased subscribing during the year,Female,2226350
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Female,513901
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Female,10861
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Female,275633
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Female,496010
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Female,28053
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Female,513901
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Total,2547185
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,61
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Female,600285
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Female,28053
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,36
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Transgender,56
2019-20,Total,Number of New EPF Subscribers during the year,Transgender,274
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,Total,Number of members that ceased subscribing during the year,Female,2226350
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Total,1429927
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Total,27335
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,39
2019-20,Total,Number of exited members who rejoined and resubscribed,Transgender,203
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Female,278069
2019-20,Total,Number of members that ceased subscribing during the year,Total,10996914
2019-20,Total,Number of members that ceased subscribing during the year,Total,10996914
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Female,663699
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,153306
2019-20,Total,Number of exited members who rejoined and resubscribed,Female,1299303
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Female,261520
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Total,2676071
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Total,1753635
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Total,2562761
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Total,2547185
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,223766
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,353155
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,153306
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,4205
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,4205
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Female,275633
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,46
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,36
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,46
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2019-20,Total,Number of members that ceased subscribing during the year,Transgender,311
2019-20,Total,Number of exited members who rejoined and resubscribed,Female,1299303
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,1
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Transgender,89
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Total,102289
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Total,2946147
2019-20,Total,Number of members that ceased subscribing during the year,Female,2226350
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Female,513901
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Female,496010
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Female,355609
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Female,574336
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,4205
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,72
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,36
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,68
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Transgender,89
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,72
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,72
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,153306
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,68
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Female,600285
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Female,28053
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,68
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,36
2019-20,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,72
2019-20,Total,Number of New EPF Subscribers during the year,Female,2520661
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Female,473257
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,46
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Female,477298
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,30
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,59
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,39
2019-20,Total,Number of exited members who rejoined and resubscribed,Transgender,203
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,Total,Number of members that ceased subscribing during the year,Transgender,311
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Transgender,89
2019-20,Total,Number of members that ceased subscribing during the year,Transgender,311
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Female,355609
2019-20,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,1
2019-20,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,30
2019-20,More than 35 years,Number of New EPF Subscribers during the year,Transgender,56
2019-20,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,36
2019-20,Total,Number of New EPF Subscribers during the year,Transgender,274
2019-20,Total,Number of members that ceased subscribing during the year,Total,10996914
2019-20,More than 35 years,Number of members that ceased subscribing during the year,Total,2547185
2019-20,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,68
2019-20,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2019-20,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,59
2019-20,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3
2019-20,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,46
2019-20,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,37
2019-20,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,36
2019-20,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,59
2019-20,Total,Number of exited members who rejoined and resubscribed,Transgender,203
2019-20,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,61
2019-20,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,39
2018-19,Total,Number of exited members who rejoined and resubscribed,Male,3710136
2018-19,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,76
2018-19,26 to 28 years,Number of New EPF Subscribers during the year,Total,1740666
2018-19,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,936132
2018-19,22 to 25 years,Number of New EPF Subscribers during the year,Total,3639953
2018-19,More than 35 years,Number of exited members who rejoined and resubscribed,Male,733076
2018-19,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,936132
2018-19,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,3976
2018-19,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,447207
2018-19,22 to 25 years,Number of New EPF Subscribers during the year,Male,2876479
2018-19,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,675638
2018-19,Total,Number of exited members who rejoined and resubscribed,Transgender,253
2018-19,More than 35 years,Number of exited members who rejoined and resubscribed,Male,733076
2018-19,Total,Number of exited members who rejoined and resubscribed,Male,3710136
2018-19,22 to 25 years,Number of members that ceased subscribing during the year,Male,2377895
2018-19,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,675638
2018-19,18 to 21 years,Number of members that ceased subscribing during the year,Male,1361213
2018-19,18 to 21 years,Number of New EPF Subscribers during the year,Male,2823682
2018-19,Less than 18 years,Number of New EPF Subscribers during the year,Male,87869
2018-19,More than 35 years,Number of members that ceased subscribing during the year,Total,2851380
2018-19,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,914107
2018-19,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,40
2018-19,Total,Number of members that ceased subscribing during the year,Total,12296941
2018-19,Total,Number of New EPF Subscribers during the year,Transgender,305
2018-19,Less than 18 years,Number of members that ceased subscribing during the year,Male,19426
2018-19,29 to 35 years,Number of members that ceased subscribing during the year,Not Available,19939
2018-19,Total,Number of exited members who rejoined and resubscribed,Male,3710136
2018-19,More than 35 years,Number of exited members who rejoined and resubscribed,Male,733076
2018-19,22 to 25 years,Number of New EPF Subscribers during the year,Male,2876479
2018-19,Less than 18 years,Number of exited members who rejoined and resubscribed,Not Available,1
2018-19,18 to 21 years,Number of exited members who rejoined and resubscribed,Not Available,124
2018-19,18 to 21 years,Number of New EPF Subscribers during the year,Total,3466829
2018-19,Less than 18 years,Number of New EPF Subscribers during the year,Total,119123
2018-19,Less than 18 years,Number of New EPF Subscribers during the year,Male,87869
2018-19,18 to 21 years,Number of New EPF Subscribers during the year,Male,2823682
2018-19,26 to 28 years,Number of New EPF Subscribers during the year,Male,1397099
2018-19,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,86
2018-19,Less than 18 years,Number of New EPF Subscribers during the year,Male,87869
2018-19,Less than 18 years,Number of New EPF Subscribers during the year,Total,119123
2018-19,18 to 21 years,Number of New EPF Subscribers during the year,Total,3466829
