fiscal_year,state,age_group,category,gender,value,unit,note
2018-19,All India,Total,Number of members that ceased subscribing during the year,Transgender,639,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,86,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Total,13944349,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Male,733076,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Not Available,629,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Not Available,749,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Not Available,1308,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Not Available,1629,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Not Available,4440,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Male,1397099,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Male,2876479,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Male,2823682,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Male,87869,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Total,119123,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Total,3466829,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Total,877941,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Total,4464815,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Male,3710136,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,936132,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Total,2532381,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,675638,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,914107,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,447207,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,3976,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Total,3639953,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Total,1740666,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Total,2445397,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Not Available,2,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Not Available,2,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Total,1976489,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Total,4464815,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,153,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,447207,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Not Available,19939,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Not Available,10974,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,11919,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,2724,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Not Available,247,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,3976,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,914107,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,1124427,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,675638,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,936132,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Male,733076,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Male,3710136,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,4,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,109,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Not Available,35264,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Not Available,81067,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,4,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,109,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,153,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,87,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Transgender,639,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Male,9846459,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Male,2253688,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Male,2246297,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Male,1587940,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Male,2377895,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Total,4464815,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Total,877941,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Total,1112743,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Total,12296941,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Total,2851380,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Not Available,2,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,87,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Not Available,629,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Not Available,749,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Not Available,1308,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Not Available,1629,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Not Available,4440,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Male,1587940,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Male,2377895,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Male,1361213,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Male,19426,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Total,30082,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Total,1652918,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Transgender,639,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,153,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Not Available,2,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Male,11020080,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Male,1961800,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Male,1873151,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Male,1397099,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Male,2876479,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Male,2823682,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Male,87869,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Total,2992679,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Total,1976489,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,814578,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,529089,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Total,877941,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Not Available,19939,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,86,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,529089,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Total,6037,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Not Available,81067,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Not Available,35264,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Not Available,10974,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Total,6037,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,11919,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,2724,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Not Available,247,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,3976,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,447207,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,914107,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Male,9846459,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Male,2253688,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Male,2246297,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Male,1587940,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Male,2377895,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Male,1361213,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Male,19426,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,1124427,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,814578,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Total,1112743,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Not Available,1,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Not Available,124,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Not Available,629,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Not Available,749,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Not Available,1308,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Not Available,1629,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Not Available,4440,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,675638,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,936132,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Male,733076,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Not Available,1,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Not Available,124,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Not Available,629,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Not Available,749,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Not Available,1308,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Not Available,1629,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Not Available,4440,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Male,1361213,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Male,19426,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Male,11020080,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Male,1961800,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Male,1873151,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Male,1397099,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Male,2876479,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Male,3710136,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Not Available,2,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Not Available,2,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Male,2823682,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Male,87869,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Total,12296941,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Total,2851380,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Transgender,305,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Transgender,52,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,48,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,40,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,76,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,87,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Male,11020080,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Male,1961800,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,914107,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Total,877941,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Total,1112743,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,814578,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,1124427,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,3976,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,447207,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,675638,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Not Available,2,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,936132,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Male,733076,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Male,3710136,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Total,119123,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Total,3466829,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Total,3639953,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Total,4464815,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,4,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,109,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,153,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,87,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Total,12296941,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Total,2851380,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Total,2793393,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Total,1976489,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Total,2992679,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Total,1652918,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Total,30082,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Total,1740666,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Not Available,4440,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Not Available,1629,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,38,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Male,9846459,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Male,2253688,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Male,2246297,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Male,1587940,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Male,2377895,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Not Available,247,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,2724,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,11919,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Not Available,10974,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Not Available,19939,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Not Available,35264,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Not Available,81067,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Male,1361213,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Male,19426,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Not Available,1308,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Male,11020080,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Male,1961800,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Male,1873151,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Male,1397099,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Male,2876479,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Male,2823682,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Male,87869,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Transgender,639,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,529089,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Total,2445397,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Not Available,1,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Not Available,124,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Not Available,629,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Not Available,749,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Not Available,2,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,30,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,447207,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Male,2377895,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Male,1587940,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Male,2246297,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Male,2253688,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Male,9846459,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,3976,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,914107,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,675638,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,936132,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Male,733076,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Male,3710136,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Total,13944349,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Total,2532381,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Male,1361213,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Male,19426,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,38,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Transgender,305,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Not Available,1,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Not Available,124,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Not Available,629,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Not Available,749,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Not Available,1308,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Not Available,1629,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Not Available,4440,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Transgender,52,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,48,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,40,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,76,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Male,11020080,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Male,87869,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Male,2823682,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Not Available,81067,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,4,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Transgender,639,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Male,9846459,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Male,2253688,value in Absolute Number,
